dataset,Delta,bx,by,RMSE,MAE,Huber,points
附件1,-203.4317014517301,0.01293647769054651,-0.058882444179021665,0.31165249748354557,0.3070681321084183,0.04856363959386569,7054
附件1,-203.3817014517301,0.012682736282188967,-0.05845134958872933,0.3085514281707238,0.30400269939988483,0.047601991913096664,7054
附件1,-203.3317014517301,0.012555874745867168,-0.05783999777706028,0.30543696431176365,0.30093602565268135,0.0466458695839928,7053
附件1,-203.2817014517301,0.012600505290739417,-0.05709888167780863,0.30231833585558093,0.29787211816642045,0.045698188097243915,7053
附件1,-203.23170145173012,0.012419894790977715,-0.05643147030153428,0.2991967549129836,0.29480560117377413,0.044759349075229986,7052
附件1,-203.1817014517301,0.012170696673929893,-0.05586254628431353,0.2960829574687437,0.2917404775613913,0.04383255885171894,7052
附件1,-203.1317014517301,0.012043325228360047,-0.05515357057814185,0.2929593356750526,0.2886739781148337,0.04291258617958408,7051
附件1,-203.0817014517301,0.012080838618216738,-0.05470396969285485,0.28986600438448756,0.28560768667290654,0.04201115024891388,7051
附件1,-203.0317014517301,0.011903204640158815,-0.05404040626264012,0.28674442791966676,0.2825406938402224,0.04111118347148849,7050
附件1,-202.98170145173012,0.011658608330663567,-0.053322391813841685,0.2836170054691236,0.279475986408,0.04021930289563644,7050
附件1,-202.9317014517301,0.011530783828642921,-0.05265429333120064,0.2804966013996785,0.2764087894046518,0.039339171698385064,7049
附件1,-202.8817014517301,0.011561179302188584,-0.05218228380897916,0.2774004802827367,0.27334210241720125,0.03847551323054651,7049
附件1,-202.8317014517301,0.011386411703197208,-0.05152200577702104,0.27427888997000754,0.27027465665210304,0.037614454741589747,7048
附件1,-202.7817014517301,0.01114647329138585,-0.05093295023416444,0.27116259528320713,0.26720858333479286,0.03676457654036217,7048
附件1,-202.73170145173012,0.011018250193862489,-0.05027721502597071,0.2680428507226557,0.26414087466305797,0.03592348491176395,7047
附件1,-202.6817014517301,0.011041527037279675,-0.049619113281663685,0.2649295111185406,0.2610748959244233,0.03509382293075446,7047
附件1,-202.6317014517301,0.010869520451338044,-0.04898329833142767,0.26180979031177215,0.2580068699848046,0.03427218315154706,7046
附件1,-202.5817014517301,0.010634293623217661,-0.04848128474867908,0.2587008531456321,0.25493969996992294,0.03346306570913896,7046
附件1,-202.5317014517301,0.010505723989841176,-0.04789158482014866,0.2555865352678642,0.251871145299367,0.032662238505115584,7045
附件1,-202.48170145173012,0.01052188151008382,-0.04718136432383724,0.2524678836145446,0.24880500750925502,0.031870016128403615,7045
附件1,-202.4317014517301,0.010352535337438518,-0.04654713062959781,0.24934799664345564,0.24573655881796164,0.031087211715052382,7044
附件1,-202.3817014517301,0.010122071359936036,-0.045980936803426575,0.24623307255556523,0.24266930316093438,0.030315363010077125,7044
附件1,-202.3317014517301,0.009993204870953676,-0.045310528399231664,0.2431112501020647,0.23960088113280853,0.029551539963094328,7043
附件1,-202.2817014517301,0.010002242395758199,-0.04484316819859124,0.24001327851193693,0.23653264215016606,0.0288031869310243,7043
附件1,-202.23170145173012,0.009835460839657362,-0.04416274340248516,0.23688902263324152,0.23346409700611495,0.02805820452206621,7042
附件1,-202.1817014517301,0.00960980856828686,-0.04352259934157965,0.2337673121910826,0.23039684460758328,0.027323578124521537,7042
附件1,-202.1317014517301,0.009480692483561981,-0.04290858716510115,0.2306500490348323,0.227327648902244,0.02659972255988527,7041
附件1,-202.0817014517301,0.009482609388165475,-0.04230565359280103,0.2275394720780621,0.22425984147210956,0.0258871056767816,7041
附件1,-202.0317014517301,0.009318301415922825,-0.04172189305603646,0.22442341351680034,0.22119025985823187,0.025182934267266383,7040
附件1,-201.98170145173012,0.009097507289114848,-0.04113943344130333,0.22130647584280005,0.2181221352168725,0.02448827812497992,7040
附件1,-201.9317014517301,0.008968186504164866,-0.04044929157271082,0.21818219481690576,0.21505308095310186,0.023801735067561107,7039
附件1,-201.8817014517301,0.008962982169740563,-0.03991970488961283,0.2150773258587805,0.21198430333785012,0.02312912804928202,7039
附件1,-201.8317014517301,0.008801061532970333,-0.039277344577924034,0.21195587105031768,0.2089147454543259,0.02246264563634944,7038
附件1,-201.7817014517301,0.008585169578176677,-0.038710886735370265,0.2088400571170464,0.20584604016198976,0.0218070847283256,7038
附件1,-201.73170145173012,0.008455686559704745,-0.038137292737402184,0.20572556775705703,0.20277581679782608,0.02116150461448173,7037
附件1,-201.6817014517301,0.00844336041494742,-0.03747390319682786,0.2026083795086996,0.19970750775939794,0.02052507772357062,7037
附件1,-201.6317014517301,0.008283745666068043,-0.03686365888641019,0.19948945048591124,0.1966373633659727,0.019898020427585414,7036
附件1,-201.5817014517301,0.008072797487508443,-0.03628998724842297,0.19637275164969478,0.19356824952757543,0.01928112879523635,7036
附件1,-201.5317014517301,0.007943192334025628,-0.03565347692045062,0.19325244882957127,0.19049810331915487,0.01867325448931303,7035
附件1,-201.48170145173012,0.007923743828416985,-0.03515546499665434,0.19014894821295225,0.18742820668870422,0.018078311253245997,7035
附件1,-201.4317014517301,0.00776635826939831,-0.03447573903962409,0.18702373430810687,0.1843581914375435,0.017488938597274677,7034
附件1,-201.3817014517301,0.007560393067550963,-0.03391121188141005,0.1839075835678704,0.18128856818696226,0.016910999646886617,7034
附件1,-201.3317014517301,0.007430703461397403,-0.033328215921669235,0.18079156676910282,0.1782177000827556,0.01634279530741348,7033
附件1,-201.2817014517301,0.0074041320652211695,-0.032678445590815786,0.1776742931415659,0.1751484372534161,0.015784077221677545,7033
附件1,-201.23170145173012,0.007248903824885744,-0.03210379994671131,0.17455791075305443,0.17207734373227243,0.015235232103235657,7032
附件1,-201.1817014517301,0.0070479583698960235,-0.03153728846460346,0.17144135947087297,0.1690073017535739,0.014696069868610544,7032
附件1,-201.1317014517301,0.006918219606294684,-0.030869171128597328,0.16831769573488062,0.16593670525800183,0.014165423348749925,7031
附件1,-201.0817014517301,0.006884524837372563,-0.030355048201984758,0.16521145295776726,0.1628660588627656,0.013647412094208273,7031
附件1,-201.0317014517301,0.006731386791513749,-0.02974742591820506,0.16209198395979982,0.15979486979428778,0.013136905632012,7030
附件1,-200.98170145173012,0.006535495451962636,-0.029169611717945965,0.15897424770461616,0.1567244883223252,0.01263640571662433,7030
附件1,-200.9317014517301,0.006405740425253104,-0.028551620499268182,0.1558545767077645,0.15365320927077822,0.012145324540378224,7029
附件1,-200.8817014517301,0.006364921807349155,-0.02796253433241791,0.1527412711007874,0.15058269499910187,0.011664947948742116,7029
附件1,-200.8317014517301,0.006213811639471434,-0.027373274547413784,0.14962314116156805,0.14751105587390617,0.011193542185527261,7028
附件1,-200.7817014517301,0.006023006354255789,-0.02679048582554866,0.14650478414886164,0.14444030391448853,0.01073182588925227,7028
附件1,-200.73170145173012,0.005893265563415184,-0.026191178754677358,0.14338641551856873,0.14136858001697597,0.010279832077631827,7027
附件1,-200.6817014517301,0.005845322667851427,-0.025655114061804873,0.14027701903440531,0.13829728797958918,0.009838821034589454,7027
附件1,-200.6317014517301,0.005696182844840969,-0.02499582798465738,0.13715269202587452,0.1352258519941915,0.009405430464972187,7026
附件1,-200.5817014517301,0.005510493145321371,-0.024446829207169785,0.13403702865021624,0.1321544582618951,0.008982962524689447,7026
