tau0,alpha,bias_norm,tau_b,bias_norm_gt_tau,bootstrap_significant,final_decision
0.2,0.1,0.3315224554611094,0.27451823266516623,True,False,False
0.2,0.2,0.3315224554611094,0.5490364653303325,False,False,False
0.2,0.3,0.3315224554611094,0.8235546979954987,False,False,False
0.3,0.1,0.3315224554611094,0.3,True,False,False
0.3,0.2,0.3315224554611094,0.5490364653303325,False,False,False
0.3,0.3,0.3315224554611094,0.8235546979954987,False,False,False
0.4,0.1,0.3315224554611094,0.4,False,False,False
0.4,0.2,0.3315224554611094,0.5490364653303325,False,False,False
0.4,0.3,0.3315224554611094,0.8235546979954987,False,False,False
0.5,0.1,0.3315224554611094,0.5,False,False,False
0.5,0.2,0.3315224554611094,0.5490364653303325,False,False,False
0.5,0.3,0.3315224554611094,0.8235546979954987,False,False,False
