seq,event_id,event_type,target_id,start_time,execute_time,distance,speed,acceleration,margin,covered_targets,camera_direction,num_covered_targets,target_angles,min_distance,max_distance,fov_degree,shot_index_for_target,cumulative_hit_probability
1,S_00113,shooting,S04,479.45,480.95,12.67718805794224,1.811221780611295,0.9824246501011479,0.03365978833604366,S04,,1,,,,,1.0,0.85
2,S_00106,shooting,S03,481.55,483.05,15.081871788004038,1.6160090598274792,1.3257970103149164,0.11613532645672242,S03,,1,,,,,1.0,0.85
3,P_00002,photo,,493.05,493.55,,1.1024274912716996,1.0826066970383195,0.011282150068601707,"P03,P04",-10.0,2,"-8.2,12.4",23.473527546991406,33.312604931379816,45.0,,
4,S_00040,shooting,S01,493.75,495.25,24.062963145189006,1.259594527459125,0.7711090617555076,0.21735249621258848,S01,,1,,,,,1.0,0.85
5,S_00664,shooting,S12,506.65,508.15,25.75696935834202,1.2426605402815418,1.486550791635539,0.008966138909640708,S12,,1,,,,,4.0,0.99949375
6,S_00457,shooting,S11,508.55,510.05,17.36965645405119,1.0996050448628671,1.0074772954333542,0.3136610261250808,S11,,1,,,,,1.0,0.85
7,P_00035,photo,,510.55,511.05,,1.1789166258937291,1.2236699002236058,0.18422006651759615,"P01,P02",-80.0,2,"-80.1,-61.2",30.181420632803615,34.37250975547575,45.0,,
8,S_00478,shooting,S11,512.25,513.75,18.890669238280758,1.8247871028282718,0.8101720269935457,0.07865336045580906,S11,,1,,,,,4.0,0.99949375
9,S_00255,shooting,S10,515.15,516.65,10.76260184154167,1.1253706305761961,0.7246023948648508,0.1942174604059241,S10,,1,,,,,1.0,0.85
10,S_00750,shooting,S12,516.85,518.35,23.60665521906004,1.1485320427599421,0.44827132051214835,0.20767611972595545,S12,,1,,,,,1.0,0.85
11,S_00530,shooting,S11,522.55,524.05,24.773484761737087,0.5468966688646276,0.4490661191434624,0.13434036371026967,S11,,1,,,,,2.0,0.9775
12,S_00305,shooting,S10,525.25,526.75,16.37807670604218,1.3037532012397453,1.2798147574224543,0.1467901617183638,S10,,1,,,,,3.0,0.996625
13,S_00321,shooting,S10,526.85,528.35,20.31770234716264,1.7195033287870276,0.6020645821673706,0.0852638453862159,S10,,1,,,,,5.0,0.9999240625
14,S_00345,shooting,S10,532.65,534.15,24.639038675169015,0.8988388384420427,0.6287139391572159,0.17933833577470096,S10,,1,,,,,2.0,0.9775
15,S_00364,shooting,S10,534.55,536.05,27.30201402773807,1.684221445541882,0.600130140499503,0.10791943889047716,S10,,1,,,,,4.0,0.99949375
16,S_00908,shooting,S15,748.65,750.15,13.48232493299595,1.8885827868985845,0.15884932580738045,0.05570860655070775,S15,,1,,,,,1.0,0.85
17,S_00899,shooting,S14,751.45,752.95,11.426347387919282,1.7871398337826445,0.7759894997036361,0.10643008310867774,S14,,1,,,,,1.0,0.85
18,S_00866,shooting,S13,762.05,763.55,28.692171622787942,1.6347529377580816,0.45632845676258427,0.003053626857507794,S13,,1,,,,,1.0,0.85
19,S_00625,shooting,S11,763.65,765.15,19.48729389938385,1.7995807782559856,0.07663095679462602,0.1002096108720072,S11,,1,,,,,3.0,0.996625
20,S_00843,shooting,S12,765.25,766.75,21.46001475269143,1.828239180017358,0.11231740593438178,0.08047353537288104,S12,,1,,,,,3.0,0.996625
21,S_00865,shooting,S12,767.45,768.95,24.125016103538645,1.6268750762713662,0.15738571597504905,0.10694213062772617,S12,,1,,,,,2.0,0.9775
