seq,event_id,event_type,target_id,start_time,execute_time,distance,speed,acceleration,margin,covered_targets,camera_direction,num_covered_targets,target_angles,min_distance,max_distance,fov_degree,shot_index_for_target,marginal_hit_gain,cumulative_hit_probability
1,S_00169,shooting,S06,479.45,480.95,28.478282991884274,1.811221780611295,0.9824246501011479,0.03365978833604366,S06,,1,,,,,1.0,0.85,0.85
2,S_00106,shooting,S03,481.55,483.05,15.081871788004038,1.6160090598274792,1.3257970103149164,0.11613532645672242,S03,,1,,,,,1.0,0.85,0.85
3,P_00001,photo,,493.05,493.55,,1.1024274912716996,1.0826066970383195,0.011282150068601707,P11,-35.0,1,-37.5,28.014145773843158,28.014145773843158,45.0,,,
4,P_00012,photo,,494.05,494.55,,1.062417713334145,0.9969932026133521,0.21735249621258848,"P03,P04",-10.0,2,"-9.6,11.7",23.182566967103522,32.835967398329274,45.0,,,
5,P_00020,photo,,495.05,495.55,,1.3923437427927918,0.2015921886347146,0.07177083813813878,P10,-70.0,1,-69.5,30.692383780735604,30.692383780735604,45.0,,,
6,S_00665,shooting,S12,506.75,508.25,25.49426520851034,1.174993641032538,1.1365412498699554,0.008966138909640708,S12,,1,,,,,1.0,0.85,0.85
7,S_00457,shooting,S11,508.55,510.05,17.36965645405119,1.0996050448628671,1.0074772954333542,0.3136610261250808,S11,,1,,,,,1.0,0.85,0.85
8,P_00035,photo,,510.55,511.05,,1.1789166258937291,1.2236699002236058,0.18422006651759615,"P01,P02",-80.0,2,"-80.1,-61.2",30.181420632803615,34.37250975547575,45.0,,,
9,S_00719,shooting,S12,513.75,515.25,25.99401025881584,1.228368633261556,0.3777961193610066,0.08662755033661924,S12,,1,,,,,2.0,0.1275,0.9775
10,S_00509,shooting,S11,515.35,516.85,20.62503170760264,1.1981289931451415,0.1299796569752984,0.2776258990940545,S11,,1,,,,,2.0,0.1275,0.9775
11,S_00751,shooting,S12,516.95,518.45,23.480416712857945,1.198060886058689,1.2117755940760442,0.1921496039493039,S12,,1,,,,,3.0,0.019125000000000003,0.996625
12,S_00526,shooting,S11,522.15,523.65,24.691110859491296,0.7139731347853461,1.0632629927681732,0.12499213847628932,S11,,1,,,,,3.0,0.019125000000000003,0.996625
13,S_00542,shooting,S11,523.75,525.25,26.848711789095432,1.2273243632374562,0.9044112926290089,0.108442806079536,S11,,1,,,,,4.0,0.0028687500000000015,0.99949375
14,S_00306,shooting,S10,525.35,526.85,16.50875940152967,1.3695140788688969,0.6444622591319255,0.1467901617183638,S10,,1,,,,,1.0,0.85,0.85
15,S_00322,shooting,S10,526.95,528.45,20.3441885294588,1.7440946668316877,0.5004929793093014,0.0852638453862159,S10,,1,,,,,2.0,0.1275,0.9775
16,S_00333,shooting,S10,531.45,532.95,24.24352296716412,0.5166748377299051,0.7930146111626183,0.12138936483196705,S10,,1,,,,,3.0,0.019125000000000003,0.996625
17,S_00350,shooting,S10,533.15,534.65,25.147560031769732,1.4105054676949218,1.0195140655392805,0.06230997575787237,S10,,1,,,,,4.0,0.0028687500000000015,0.99949375
18,S_00366,shooting,S10,534.75,536.25,27.06641693596354,1.7162025882161516,0.2049786163576547,0.10791943889047716,S10,,1,,,,,5.0,0.00043031250000000025,0.9999240625
19,S_00910,shooting,S15,748.85,750.35,13.107111095563464,1.8761230129079347,0.3095925211760501,0.05570860655070775,S15,,1,,,,,1.0,0.85,0.85
20,S_00889,shooting,S14,750.45,751.95,11.629080642395245,1.5546419788700065,0.9195700303635619,0.029358318969770036,S14,,1,,,,,1.0,0.85,0.85
21,S_00979,shooting,S16,752.05,753.55,26.94096983498137,1.8779320172210527,0.7105775834182527,0.024849206735746976,S16,,1,,,,,1.0,0.85,0.85
22,S_00866,shooting,S13,762.05,763.55,28.692171622787942,1.6347529377580816,0.45632845676258427,0.003053626857507794,S13,,1,,,,,1.0,0.85,0.85
23,S_00827,shooting,S12,763.65,765.15,18.20232539307702,1.7995807782559856,0.07663095679462602,0.1002096108720072,S12,,1,,,,,4.0,0.0028687500000000015,0.99949375
24,S_00644,shooting,S11,765.55,767.05,22.106230952755933,1.8138318763149808,0.13990466799187887,0.08047353537288104,S11,,1,,,,,5.0,0.00043031250000000025,0.9999240625
25,S_00865,shooting,S12,767.45,768.95,24.125016103538645,1.6268750762713662,0.15738571597504905,0.10694213062772617,S12,,1,,,,,5.0,0.00043031250000000025,0.9999240625
