seq,event_id,event_type,target_id,start_time,execute_time,distance,speed,acceleration,margin,covered_targets,camera_direction,num_covered_targets,target_angles,min_distance,max_distance,fov_degree,shot_index_for_target,marginal_hit_gain,cumulative_hit_probability
1,S_00170,shooting,S06,479.55,481.05,28.58216803140399,1.9109412737536389,0.740350290130024,0.03365978833604366,S06,,1,,,,,1.0,0.85,0.85
2,S_00134,shooting,S04,481.55,483.05,15.35816254703338,1.6160090598274792,1.3257970103149164,0.11613532645672242,S04,,1,,,,,1.0,0.85,0.85
3,P_00001,photo,,493.05,493.55,,1.1024274912716996,1.0826066970383195,0.011282150068601707,P11,-35.0,1,-37.5,28.014145773843158,28.014145773843158,45.0,,,
4,P_00012,photo,,494.05,494.55,,1.062417713334145,0.9969932026133521,0.21735249621258848,"P03,P04",-10.0,2,"-9.6,11.7",23.182566967103522,32.835967398329274,45.0,,,
5,P_00020,photo,,495.05,495.55,,1.3923437427927918,0.2015921886347146,0.07177083813813878,P10,-70.0,1,-69.5,30.692383780735604,30.692383780735604,45.0,,,
6,S_00457,shooting,S11,508.55,510.05,17.36965645405119,1.0996050448628671,1.0074772954333542,0.3136610261250808,S11,,1,,,,,1.0,0.85,0.85
7,P_00035,photo,,510.55,511.05,,1.1789166258937291,1.2236699002236058,0.18422006651759615,"P01,P02",-80.0,2,"-80.1,-61.2",30.181420632803615,34.37250975547575,45.0,,,
8,S_00719,shooting,S12,513.75,515.25,25.99401025881584,1.228368633261556,0.3777961193610066,0.08662755033661924,S12,,1,,,,,1.0,0.85,0.85
9,S_00509,shooting,S11,515.35,516.85,20.62503170760264,1.1981289931451415,0.1299796569752984,0.2776258990940545,S11,,1,,,,,2.0,0.1275,0.9775
10,S_00751,shooting,S12,516.95,518.45,23.480416712857945,1.198060886058689,1.2117755940760442,0.1921496039493039,S12,,1,,,,,2.0,0.1275,0.9775
11,S_00527,shooting,S11,522.25,523.75,24.797110148458334,0.6362796276798742,0.8770763686570476,0.12499213847628932,S11,,1,,,,,3.0,0.019125000000000003,0.996625
12,S_00543,shooting,S11,523.85,525.35,26.915127477681136,1.2251726746186091,0.4745478253248056,0.108442806079536,S11,,1,,,,,4.0,0.0028687500000000015,0.99949375
13,S_00307,shooting,S10,525.45,526.95,16.707683617444474,1.3750956557462266,0.2101651773901656,0.1467901617183638,S10,,1,,,,,1.0,0.85,0.85
14,S_00323,shooting,S10,527.05,528.55,20.300209847554367,1.8125959821595943,0.7412816530765193,0.0852638453862159,S10,,1,,,,,2.0,0.1275,0.9775
15,S_00332,shooting,S10,531.35,532.85,23.92364386736233,0.5546878734362468,0.4420258991366063,0.12138936483196705,S10,,1,,,,,3.0,0.019125000000000003,0.996625
16,S_00348,shooting,S10,532.95,534.45,25.152383649093103,1.1961700968102813,1.4065350363631914,0.06230997575787237,S10,,1,,,,,4.0,0.0028687500000000015,0.99949375
17,S_00364,shooting,S10,534.55,536.05,27.30201402773807,1.684221445541882,0.600130140499503,0.10791943889047716,S10,,1,,,,,5.0,0.00043031250000000025,0.9999240625
18,S_00947,shooting,S16,748.85,750.35,22.584787922152117,1.8761230129079347,0.3095925211760501,0.05570860655070775,S16,,1,,,,,1.0,0.85,0.85
19,S_00926,shooting,S15,750.45,751.95,16.128643515438977,1.5546419788700065,0.9195700303635619,0.029358318969770036,S15,,1,,,,,1.0,0.85,0.85
20,S_00905,shooting,S14,752.05,753.55,11.319855201928293,1.8779320172210527,0.7105775834182527,0.024849206735746976,S14,,1,,,,,1.0,0.85,0.85
21,S_00812,shooting,S12,762.15,763.65,14.854911374083583,1.62926617425347,0.29444162654154254,0.13632875916347187,S12,,1,,,,,3.0,0.019125000000000003,0.996625
22,S_00828,shooting,S12,763.75,765.25,18.441897818474832,1.8068663746566012,0.06924853758703266,0.09656681267169942,S12,,1,,,,,4.0,0.0028687500000000015,0.99949375
23,S_00643,shooting,S11,765.45,766.95,22.13053997978417,1.8192683598708668,0.13059157973557645,0.08047353537288104,S11,,1,,,,,5.0,0.00043031250000000025,0.9999240625
24,S_00865,shooting,S12,767.45,768.95,24.125016103538645,1.6268750762713662,0.15738571597504905,0.10694213062772617,S12,,1,,,,,5.0,0.00043031250000000025,0.9999240625
