seq,event_id,event_type,target_id,start_time,execute_time,distance,speed,acceleration,margin,covered_targets,camera_direction,num_covered_targets,target_angles,min_distance,max_distance,fov_degree,shot_index_for_target,marginal_hit_gain,cumulative_hit_probability
1,S_00027,shooting,S01,481.55,483.05,11.682200741406392,1.6160090598274792,1.3257970103149164,0.11613532645672242,S01,,1,,,,,1.0,0.85,0.85
2,P_00006,photo,,493.55,494.05,,1.1132348672598857,0.27715346422207243,0.15972452004161752,P11,-40.0,1,-38.1,27.645870899274893,27.645870899274893,45.0,,,
3,P_00017,photo,,494.55,495.05,,1.1011943135297888,1.005048052280708,0.22001258369452897,"P03,P04",-5.0,2,"-6.7,13.6",23.147876985313623,33.21243736324832,45.0,,,
4,S_00457,shooting,S11,508.55,510.05,17.36965645405119,1.0996050448628671,1.0074772954333542,0.3136610261250808,S11,,1,,,,,1.0,0.85,0.85
5,P_00035,photo,,510.55,511.05,,1.1789166258937291,1.2236699002236058,0.18422006651759615,"P01,P02",-80.0,2,"-80.1,-61.2",30.181420632803615,34.37250975547575,45.0,,,
6,S_00241,shooting,S10,513.75,515.25,10.612093110130967,1.228368633261556,0.3777961193610066,0.08662755033661924,S10,,1,,,,,1.0,0.85,0.85
7,S_00509,shooting,S11,515.35,516.85,20.62503170760264,1.1981289931451415,0.1299796569752984,0.2776258990940545,S11,,1,,,,,2.0,0.1275,0.9775
8,S_00751,shooting,S12,516.95,518.45,23.480416712857945,1.198060886058689,1.2117755940760442,0.1921496039493039,S12,,1,,,,,1.0,0.85,0.85
9,S_00752,shooting,S12,522.15,523.65,26.215467053690052,0.7139731347853461,1.0632629927681732,0.12499213847628932,S12,,1,,,,,2.0,0.1275,0.9775
10,S_00542,shooting,S11,523.75,525.25,26.848711789095432,1.2273243632374562,0.9044112926290089,0.108442806079536,S11,,1,,,,,3.0,0.019125000000000003,0.996625
11,S_00306,shooting,S10,525.35,526.85,16.50875940152967,1.3695140788688969,0.6444622591319255,0.1467901617183638,S10,,1,,,,,2.0,0.1275,0.9775
12,S_00322,shooting,S10,526.95,528.45,20.3441885294588,1.7440946668316877,0.5004929793093014,0.0852638453862159,S10,,1,,,,,3.0,0.019125000000000003,0.996625
13,S_00345,shooting,S10,532.65,534.15,24.639038675169015,0.8988388384420427,0.6287139391572159,0.17933833577470096,S10,,1,,,,,4.0,0.0028687500000000015,0.99949375
14,S_00364,shooting,S10,534.55,536.05,27.30201402773807,1.684221445541882,0.600130140499503,0.10791943889047716,S10,,1,,,,,5.0,0.00043031250000000025,0.9999240625
15,S_00945,shooting,S16,748.65,750.15,22.897368201828094,1.8885827868985845,0.15884932580738045,0.05570860655070775,S16,,1,,,,,1.0,0.85,0.85
16,S_00899,shooting,S14,751.45,752.95,11.426347387919282,1.7871398337826445,0.7759894997036361,0.10643008310867774,S14,,1,,,,,1.0,0.85,0.85
17,S_00812,shooting,S12,762.15,763.65,14.854911374083583,1.62926617425347,0.29444162654154254,0.13632875916347187,S12,,1,,,,,3.0,0.019125000000000003,0.996625
18,S_00828,shooting,S12,763.75,765.25,18.441897818474832,1.8068663746566012,0.06924853758703266,0.09656681267169942,S12,,1,,,,,4.0,0.0028687500000000015,0.99949375
19,S_00643,shooting,S11,765.45,766.95,22.13053997978417,1.8192683598708668,0.13059157973557645,0.08047353537288104,S11,,1,,,,,4.0,0.0028687500000000015,0.99949375
20,S_00865,shooting,S12,767.45,768.95,24.125016103538645,1.6268750762713662,0.15738571597504905,0.10694213062772617,S12,,1,,,,,5.0,0.00043031250000000025,0.9999240625
