seq,event_id,event_type,target_id,start_time,execute_time,distance,speed,acceleration,margin,covered_targets,camera_direction,num_covered_targets,target_angles,min_distance,max_distance,fov_degree,shot_index_for_target,marginal_hit_gain,cumulative_hit_probability
1,S_00141,shooting,S05,479.45,480.95,22.508369435019105,1.811221780611295,0.9824246501011479,0.03365978833604366,S05,,1,,,,,1.0,0.85,0.85
2,S_00106,shooting,S03,481.55,483.05,15.081871788004038,1.6160090598274792,1.3257970103149164,0.11613532645672242,S03,,1,,,,,1.0,0.85,0.85
3,P_00005,photo,,493.55,494.05,,1.1132348672598857,0.27715346422207243,0.15972452004161752,P10,-70.0,1,-69.1,29.298184103093053,29.298184103093053,45.0,,,
4,P_00017,photo,,494.55,495.05,,1.1011943135297888,1.005048052280708,0.22001258369452897,"P03,P04",-5.0,2,"-6.7,13.6",23.147876985313623,33.21243736324832,45.0,,,
5,S_00457,shooting,S11,508.55,510.05,17.36965645405119,1.0996050448628671,1.0074772954333542,0.3136610261250808,S11,,1,,,,,1.0,0.85,0.85
6,P_00035,photo,,510.55,511.05,,1.1789166258937291,1.2236699002236058,0.18422006651759615,"P01,P02",-80.0,2,"-80.1,-61.2",30.181420632803615,34.37250975547575,45.0,,,
7,S_00493,shooting,S11,513.75,515.25,20.28727890996327,1.228368633261556,0.3777961193610066,0.08662755033661924,S11,,1,,,,,2.0,0.1275,0.9775
8,S_00509,shooting,S11,515.35,516.85,20.62503170760264,1.1981289931451415,0.1299796569752984,0.2776258990940545,S11,,1,,,,,3.0,0.019125000000000003,0.996625
9,S_00751,shooting,S12,516.95,518.45,23.480416712857945,1.198060886058689,1.2117755940760442,0.1921496039493039,S12,,1,,,,,1.0,0.85,0.85
10,S_00752,shooting,S12,522.15,523.65,26.215467053690052,0.7139731347853461,1.0632629927681732,0.12499213847628932,S12,,1,,,,,2.0,0.1275,0.9775
11,S_00291,shooting,S10,523.85,525.35,16.866334513945223,1.2251726746186091,0.4745478253248056,0.108442806079536,S10,,1,,,,,1.0,0.85,0.85
12,S_00307,shooting,S10,525.45,526.95,16.707683617444474,1.3750956557462266,0.2101651773901656,0.1467901617183638,S10,,1,,,,,2.0,0.1275,0.9775
13,S_00323,shooting,S10,527.05,528.55,20.300209847554367,1.8125959821595943,0.7412816530765193,0.0852638453862159,S10,,1,,,,,3.0,0.019125000000000003,0.996625
14,S_00345,shooting,S10,532.65,534.15,24.639038675169015,0.8988388384420427,0.6287139391572159,0.17933833577470096,S10,,1,,,,,4.0,0.0028687500000000015,0.99949375
15,S_00364,shooting,S10,534.55,536.05,27.30201402773807,1.684221445541882,0.600130140499503,0.10791943889047716,S10,,1,,,,,5.0,0.00043031250000000025,0.9999240625
16,S_00908,shooting,S15,748.65,750.15,13.48232493299595,1.8885827868985845,0.15884932580738045,0.05570860655070775,S15,,1,,,,,1.0,0.85,0.85
17,S_00899,shooting,S14,751.45,752.95,11.426347387919282,1.7871398337826445,0.7759894997036361,0.10643008310867774,S14,,1,,,,,1.0,0.85,0.85
18,S_00812,shooting,S12,762.15,763.65,14.854911374083583,1.62926617425347,0.29444162654154254,0.13632875916347187,S12,,1,,,,,3.0,0.019125000000000003,0.996625
19,S_00626,shooting,S11,763.75,765.25,19.80685524882608,1.8068663746566012,0.06924853758703266,0.09656681267169942,S11,,1,,,,,4.0,0.0028687500000000015,0.99949375
20,S_00848,shooting,S12,765.75,767.25,22.14682849355188,1.8011329557281786,0.15877964862028496,0.08047353537288104,S12,,1,,,,,4.0,0.0028687500000000015,0.99949375
21,S_00663,shooting,S11,767.45,768.95,23.161054506218154,1.6268750762713662,0.15738571597504905,0.10694213062772617,S11,,1,,,,,5.0,0.00043031250000000025,0.9999240625
