event_id,event_type,start_time,execute_time,camera_direction,covered_targets,num_covered_targets,target_angles,speed,acceleration,min_distance,max_distance,margin,fov_degree
P_00000,photo,493.05,493.55,-70.0,P10,1,-68.2,1.1024274912716996,1.0826066970383195,29.447151927613408,29.447151927613408,0.011282150068601707,45.0
P_00001,photo,493.05,493.55,-35.0,P11,1,-37.5,1.1024274912716996,1.0826066970383195,28.014145773843158,28.014145773843158,0.011282150068601707,45.0
P_00002,photo,493.05,493.55,-10.0,"P03,P04",2,"-8.2,12.4",1.1024274912716996,1.0826066970383195,23.473527546991406,33.312604931379816,0.011282150068601707,45.0
P_00003,photo,493.05,493.55,10.0,"P03,P04",2,"-8.2,12.4",1.1024274912716996,1.0826066970383195,23.473527546991406,33.312604931379816,0.011282150068601707,45.0
P_00004,photo,493.05,493.55,35.0,P02,1,36.3,1.1024274912716996,1.0826066970383195,18.52349821027958,18.52349821027958,0.011282150068601707,45.0
P_00005,photo,493.55,494.05,-70.0,P10,1,-69.1,1.1132348672598857,0.27715346422207243,29.298184103093053,29.298184103093053,0.15972452004161752,45.0
P_00006,photo,493.55,494.05,-40.0,P11,1,-38.1,1.1132348672598857,0.27715346422207243,27.645870899274893,27.645870899274893,0.15972452004161752,45.0
P_00007,photo,493.55,494.05,-10.0,P03,1,-8.4,1.1132348672598857,0.27715346422207243,22.992499112696446,22.992499112696446,0.15972452004161752,45.0
P_00008,photo,493.55,494.05,15.0,"P02,P04",2,"37.1,12.5",1.1132348672598857,0.27715346422207243,18.110923289935457,32.82653714134304,0.15972452004161752,45.0
P_00009,photo,493.55,494.05,35.0,"P02,P04",2,"37.1,12.5",1.1132348672598857,0.27715346422207243,18.110923289935457,32.82653714134304,0.15972452004161752,45.0
P_00010,photo,494.05,494.55,-70.0,P10,1,-69.2,1.062417713334145,0.9969932026133521,29.796971964714825,29.796971964714825,0.21735249621258848,45.0
P_00011,photo,494.05,494.55,-40.0,P11,1,-38.8,1.062417713334145,0.9969932026133521,28.040465487359505,28.040465487359505,0.21735249621258848,45.0
P_00012,photo,494.05,494.55,-10.0,"P03,P04",2,"-9.6,11.7",1.062417713334145,0.9969932026133521,23.182566967103522,32.835967398329274,0.21735249621258848,45.0
P_00013,photo,494.05,494.55,10.0,"P03,P04",2,"-9.6,11.7",1.062417713334145,0.9969932026133521,23.182566967103522,32.835967398329274,0.21735249621258848,45.0
P_00014,photo,494.05,494.55,35.0,P02,1,35.6,1.062417713334145,0.9969932026133521,17.912665251089383,17.912665251089383,0.21735249621258848,45.0
P_00015,photo,494.55,495.05,-70.0,P10,1,-68.2,1.1011943135297888,1.005048052280708,28.776080573260675,28.776080573260675,0.2260846974328885,45.0
P_00016,photo,494.55,495.05,-35.0,P11,1,-36.7,1.1011943135297888,1.005048052280708,27.440896975711738,27.440896975711738,0.2260846974328885,45.0
P_00017,photo,494.55,495.05,-5.0,"P03,P04",2,"-6.7,13.6",1.1011943135297888,1.005048052280708,23.147876985313623,33.21243736324832,0.22001258369452897,45.0
P_00018,photo,494.55,495.05,15.0,"P03,P04",2,"-6.7,13.6",1.1011943135297888,1.005048052280708,23.147876985313623,33.21243736324832,0.22001258369452897,45.0
P_00019,photo,494.55,495.05,40.0,P02,1,38.3,1.1011943135297888,1.005048052280708,18.705119583967875,18.705119583967875,0.2260846974328885,45.0
P_00020,photo,495.05,495.55,-70.0,P10,1,-69.5,1.3923437427927918,0.2015921886347146,30.692383780735604,30.692383780735604,0.07177083813813878,45.0
P_00021,photo,495.05,495.55,-40.0,P11,1,-39.9,1.3923437427927918,0.2015921886347146,28.751332082816262,28.751332082816262,0.07177083813813878,45.0
P_00022,photo,495.05,495.55,-10.0,"P03,P04",2,"-11.6,10.1",1.3923437427927918,0.2015921886347146,23.536957388695434,32.86081336625608,0.07177083813813878,45.0
P_00023,photo,495.05,495.55,10.0,"P03,P04",2,"-11.6,10.1",1.3923437427927918,0.2015921886347146,23.536957388695434,32.86081336625608,0.07177083813813878,45.0
P_00024,photo,495.05,495.55,35.0,P02,1,32.9,1.3923437427927918,0.2015921886347146,17.576117890135343,17.576117890135343,0.07177083813813878,45.0
P_00025,photo,508.05,508.55,-80.0,"P01,P02",2,"-81.6,-61.8",0.8385381659497585,0.8395874566903101,28.385574616185853,32.77325716940503,0.008966138909640708,45.0
