target_id,feasible_event_count,selected_photo_count,selected_angles,min_angle_gap,covered_by_events,covered_by_multi_target_event,risk_level,reason_if_unselected
P01,16,1,-80.1,,P_00035,True,低,
P02,28,1,-61.2,,P_00035,True,低,
P03,9,1,-9.6,,P_00012,True,低,
P04,10,1,11.7,,P_00012,True,低,
P05,0,0,,,,False,高,no_feasible_window
P06,0,0,,,,False,高,no_feasible_window
P07,0,0,,,,False,高,no_feasible_window
P08,0,0,,,,False,高,no_feasible_window
P09,0,0,,,,False,高,no_feasible_window
P10,5,1,-69.5,,P_00020,False,低,
P11,5,1,-37.5,,P_00001,False,低,
P12,0,0,,,,False,高,no_feasible_window
P13,0,0,,,,False,高,no_feasible_window
P14,0,0,,,,False,高,no_feasible_window
P15,0,0,,,,False,高,no_feasible_window
P16,0,0,,,,False,高,no_feasible_window
P17,0,0,,,,False,高,no_feasible_window
P18,0,0,,,,False,高,no_feasible_window
