task_key,任务,目标编号,exec_time,start_time,distance,angle_deg,speed,acceleration,window_points,margin_mean,margin_worst,scenario_feasible_rate,feasible_scenarios,margin,normalized_margin,bottleneck_constraint
射击|S01|480.2,射击,S01,480.25,478.75,14.157080968771846,-136.19997462208732,1.4552393787010522,0.6338152515955805,16,0.02261867005026573,0.0,0.4,2,0.02261867005026573,0.02261867005026573,acceleration
射击|S01|480.4,射击,S01,480.35,478.85,14.217167622784734,-136.38177461059252,1.4712853187024106,0.10348905727181268,16,0.055448158656414726,0.0,0.6,3,0.055448158656414726,0.055448158656414726,speed
射击|S01|480.6,射击,S01,480.55,479.05,13.924541887718428,-134.2209940226093,1.3774230974949464,0.9012119848732768,16,0.055448158656414726,0.0,0.6,3,0.055448158656414726,0.055448158656414726,speed
射击|S01|480.8,射击,S01,480.75,479.25,13.152908536561124,-134.4506817228422,1.2741855476037338,0.16122948488540806,16,0.05580690522836873,0.0,0.6,3,0.05580690522836873,0.05580690522836873,speed
射击|S01|481.0,射击,S01,480.95,479.45,13.017275301326572,-135.34597232297116,1.444571779738085,1.3213389439982912,16,0.05541058996426558,0.0,0.6,3,0.05541058996426558,0.05541058996426558,acceleration
射击|S01|481.2,射击,S01,481.15,479.65,12.57072879092323,-134.1488256170578,1.6916521861017222,0.7015996106498212,16,0.04543367372965488,0.0,0.6,3,0.04543367372965488,0.04543367372965488,acceleration
射击|S01|481.4,射击,S01,481.35,479.85,11.656707547815948,-136.97923804875902,1.6914137439459347,0.4297448988445016,16,0.04543367372965488,0.0,0.6,3,0.04543367372965488,0.04543367372965488,acceleration
射击|S01|481.6,射击,S01,481.55,480.05,11.400864440243183,-136.9349552979955,1.644113281650127,0.6235247660546588,16,0.04543367372965488,0.0,0.6,3,0.04543367372965488,0.04543367372965488,acceleration
射击|S01|481.8,射击,S01,481.75,480.25,11.521877212496815,-138.70908454986485,1.6335787281758736,0.2616334714562916,16,0.04543367372965488,0.0,0.6,3,0.04543367372965488,0.04543367372965488,acceleration
射击|S01|482.0,射击,S01,481.95,480.45,11.567337553379536,-139.2353588099144,1.6884803100880676,0.6137621014274314,16,0.04543367372965488,0.0,0.6,3,0.04543367372965488,0.04543367372965488,acceleration
射击|S01|482.2,射击,S01,482.15,480.65,11.816610120803785,-136.11535430959233,1.8255718545020732,0.5840203287951027,16,0.03905501414588639,0.0,0.6,3,0.03905501414588639,0.03905501414588639,speed
射击|S01|482.4,射击,S01,482.35,480.85,11.601739085664756,-132.19615665721196,1.751456304110049,1.1288153719886649,16,0.03795441913556259,0.0,0.6,3,0.03795441913556259,0.03795441913556259,speed
射击|S01|482.6,射击,S01,482.55,481.05,11.08817065272356,-133.26978534576497,1.614705128369452,0.5567459902974037,16,0.03795441913556259,0.0,0.6,3,0.03795441913556259,0.03795441913556259,speed
射击|S01|482.8,射击,S01,482.75,481.25,11.53779675658836,-129.80523859440106,1.8422497156308941,0.5239870839779373,16,0.05790619329459308,0.0,0.8,4,0.05790619329459308,0.05790619329459308,speed
射击|S01|483.0,射击,S01,482.95,481.45,12.017123749858266,-125.58948126631917,1.8376214849437256,0.5152595323672845,16,0.10869220670295135,0.07887514218455294,1.0,5,0.10869220670295135,0.10869220670295135,speed
射击|S01|493.8,射击,S01,493.85,492.35,23.601005829771978,-57.24168182037885,1.3565795538959664,0.5989906850799118,16,0.006498820400338801,0.0,0.2,1,0.006498820400338801,0.006498820400338801,acceleration
射击|S01|494.0,射击,S01,493.95,492.45,23.569248379336862,-58.21158442266471,1.4003530953504948,0.300417626634037,16,0.09739330704219153,0.0,0.8,4,0.09739330704219153,0.09739330704219153,acceleration
