model,window_length,polyorder,tasks_checked,tasks_still_feasible,task_feasible_rate
R3,21,2,9,2,0.2222222222222222
R4,21,2,9,2,0.2222222222222222
R3,21,3,9,2,0.2222222222222222
R4,21,3,9,2,0.2222222222222222
R3,31,2,9,1,0.1111111111111111
R4,31,2,9,1,0.1111111111111111
R3,31,3,9,1,0.1111111111111111
R4,31,3,9,1,0.1111111111111111
R3,41,2,9,4,0.4444444444444444
R4,41,2,9,2,0.2222222222222222
R3,41,3,9,4,0.4444444444444444
R4,41,3,9,2,0.2222222222222222
R3,51,2,9,4,0.4444444444444444
R4,51,2,9,5,0.5555555555555556
R3,51,3,9,4,0.4444444444444444
R4,51,3,9,5,0.5555555555555556
R3,61,2,9,6,0.6666666666666666
R4,61,2,9,6,0.6666666666666666
R3,61,3,9,6,0.6666666666666666
R4,61,3,9,6,0.6666666666666666
R3,71,2,9,7,0.7777777777777778
R4,71,2,9,7,0.7777777777777778
R3,71,3,9,6,0.6666666666666666
R4,71,3,9,6,0.6666666666666666
R3,81,2,9,6,0.6666666666666666
R4,81,2,9,4,0.4444444444444444
R3,81,3,9,6,0.6666666666666666
R4,81,3,9,4,0.4444444444444444
R3,91,2,9,4,0.4444444444444444
R4,91,2,9,3,0.3333333333333333
R3,91,3,9,5,0.5555555555555556
R4,91,3,9,3,0.3333333333333333
