replace_target,old_task_key,candidate_task_key,candidate_target,candidate_task_type,old_worst_margin,candidate_worst_margin,candidate_feasible_rate,coverage_delta,better_worst_margin
P10,拍照|P10|494.9,拍照|P01|509.4,P01,拍照,0.0,0.21000771278489908,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|509.6,P01,拍照,0.0,0.2038997776192043,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|509.8,P01,拍照,0.0,0.19845871947590535,1.0,-1,True
P10,拍照|P10|494.9,射击|S01|494.8,S01,射击,0.0,0.1919825900131211,1.0,0,True
P10,拍照|P10|494.9,拍照|P01|510.0,P01,拍照,0.0,0.19162959797438575,1.0,-1,True
P10,拍照|P10|494.9,射击|S01|495.0,S01,射击,0.0,0.1888188596331082,1.0,0,True
P10,拍照|P10|494.9,射击|S01|495.2,S01,射击,0.0,0.1837610524342756,1.0,0,True
P10,拍照|P10|494.9,拍照|P01|510.2,P01,拍照,0.0,0.18369390462389296,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|509.0,P01,拍照,0.0,0.18259087982896652,1.0,-1,True
P10,拍照|P10|494.9,射击|S02|495.0,S02,射击,0.0,0.18255758478458334,1.0,0,True
P10,拍照|P10|494.9,射击|S02|494.8,S02,射击,0.0,0.18247546586556382,1.0,0,True
P10,拍照|P10|494.9,射击|S02|495.2,S02,射击,0.0,0.1821419402174618,1.0,0,True
P10,拍照|P10|494.9,拍照|P01|510.4,P01,拍照,0.0,0.1753449395682947,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|510.6,P01,拍照,0.0,0.16800372976858804,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|510.8,P01,拍照,0.0,0.16111270400764208,1.0,-1,True
P10,拍照|P10|494.9,射击|S02|495.4,S02,射击,0.0,0.1598944935252562,1.0,0,True
P10,拍照|P10|494.9,射击|S01|494.6,S01,射击,0.0,0.1573249562328017,1.0,0,True
P10,拍照|P10|494.9,射击|S02|494.6,S02,射击,0.0,0.1573249562328017,1.0,0,True
P10,拍照|P10|494.9,拍照|P01|511.0,P01,拍照,0.0,0.15423816380524186,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|508.8,P01,拍照,0.0,0.13988734557026383,1.0,-1,True
P10,拍照|P10|494.9,射击|S01|495.4,S01,射击,0.0,0.12942790147033745,1.0,0,True
P10,拍照|P10|494.9,拍照|P04|494.4,P04,拍照,0.0,0.12394126339150062,1.0,0,True
P10,拍照|P10|494.9,拍照|P10|494.4,P10,拍照,0.0,0.12394126339150062,1.0,0,True
P10,拍照|P10|494.9,拍照|P11|494.4,P11,拍照,0.0,0.12394126339150062,1.0,-1,True
P10,拍照|P10|494.9,拍照|P03|494.6,P03,拍照,0.0,0.11773519787631044,1.0,-1,True
P10,拍照|P10|494.9,拍照|P04|494.6,P04,拍照,0.0,0.11773519787631044,1.0,0,True
P10,拍照|P10|494.9,拍照|P10|494.6,P10,拍照,0.0,0.11773519787631044,1.0,0,True
P10,拍照|P10|494.9,拍照|P11|494.6,P11,拍照,0.0,0.11773519787631044,1.0,-1,True
P10,拍照|P10|494.9,拍照|P03|494.2,P03,拍照,0.0,0.11451158215939057,1.0,-1,True
P10,拍照|P10|494.9,拍照|P04|494.2,P04,拍照,0.0,0.11451158215939057,1.0,0,True
